corpus,intcode,segment,prt_wd,cld_wd,kwd_wd,speakers,subjects,relations,objects,texts,AEO_cat,full_name,URL,speaker_image_in_drive? (Yes/No),context(timestamp),context (segment_number),Notes
Shoah,8,15,disc,discriminatory measures,anti Jewish measures,EJ,they,closed,the only Jewish higher education,"There were -- and they closed the only Jewish higher education, which was a teacher's training seminar.",Agency_Active,Erika Jacoby,https://vhaonline.usc.edu/viewingPage?testimonyID=299&returnIndex=0,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,Everybody over the age of six,had to wear,a Star of David on our outer garment,Everybody over the age of six had to wear a Star of David on our outer garment.,Agency_Coercion/Necessity,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,we,are,at their mercy,And we knew at that point that we are at their mercy.,Orientation,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0##,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,we,knew,that they could spit on us,And we knew that they could spit on us.,Agency_Active,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,They,could shoot,us,They could shoot us.,Agency_Speculative/Modal,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,They,could beat,us,They could beat us up.,Agency_Speculative/Modal,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,19,disc,discriminatory measures,anti Jewish measures,AK,I,think this was,the time when I really experienced fear,So I think this was the time when I really experienced fear.,Agency_Passive,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,23,disc,discriminatory measures,anti Jewish measures,AK,Jews,had to give,up radios,Jews had to give up radios.,Agency_Coercion/Necessity,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,23,disc,discriminatory measures,anti Jewish measures,AK,Jews,had,telephones disconnected,Jews had telephones disconnected.,Orientation,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,33,23,disc,discriminatory measures,anti Jewish measures,AK,we,gave,our radio to him,"Also, the radios were taken away, so we gave our radio to him.",Agency_Active,Agnes Kun,https://vhaonline.usc.edu/viewingPage?testimonyID=28&returnIndex=0#,Yes,,,
Shoah,39,14,disc,discriminatory measures,anti Jewish measures,CW,we,had [to] wear,yellow stars here on the left side on our clothes,"First thing that it was, we had wear yellow stars here on the left side on our clothes.",Orientation,Catherine Weiss,https://vhaonline.usc.edu/viewingPage?testimonyID=180&returnIndex=0# ,Yes,,,
Shoah,39,14,disc,discriminatory measures,anti Jewish measures,CW,you,can imagine,how embarrassing it was to go to school,But you can imagine how embarrassing it was to go to school with the yellow star.,Agency_Speculative/Modal,Catherine Weiss,https://vhaonline.usc.edu/viewingPage?testimonyID=180&returnIndex=0# ,Yes,,,
Shoah,68,4,disc,discriminatory measures,anti Jewish measures,EF,we,needed to wear,yellow stars,"Later, we needed to wear yellow stars.",Agency_Active,Eugene Feld,https://vhaonline.usc.edu/viewingPage?testimonyID=340&returnIndex=0# ,Yes,,,
Shoah,71,9,disc,personal prejudice,antisemitism,SM,you,could not walk,the sidewalks,You had to walk on the side -- you could not walk the sidewalks.,Agency_Speculative/Modal,Sally Marco,https://vhaonline.usc.edu/viewingPage?testimonyID=1174&returnIndex=0# ,Yes,,,
Shoah,102,7,disc,discriminatory measures,anti Jewish measures,ZF,Jews,were taken,out of the Army,"First, Jews were taken out of the Army and they put them into slave labor camps serving the Hungarian Army.",Agency_Passive,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,the streets,became,unsafe for Jews to be on the street,"On the day that the German troops came in, the streets became unsafe for Jews to be on the street.",Agency_Active,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,The antisemitic youths,[…] were waiting,for this opportunity to vent their ancient hatreds against us,"The antisemitic youths that were waiting for this opportunity to vent their ancient hatreds against us, they roamed the streets and made it unsafe for any Jew to be on the streets from that point on.",Agency_Active,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,it [was] unsafe for any Jew,to be,on the streets,"The antisemitic youths that were waiting for this opportunity to vent their ancient hatreds against us, they roamed the streets and made it unsafe for any Jew to be on the streets from that point on.",Orientation,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
